SexLabel,Age,Religion,Caste,HHID,H_Lat,H_Lon,AdminUnit_Name,AdminUnit_Lat,AdminUnit_Lon,JobLabel,WorkPlaceID,W_Lat,W_Lon,SchoolID,School_Lat,School_Lon,PublicPlaceID,PublicPlace_Lat,PublicPlace_Lon,District,StateLabel,AgentID,AdherenceToIntervention,EssentialWorker,UsesPublicTransport,WorkPlace_AdminUnit,School_AdminUnit
Female,41,Hindu,Other,1876,18.58180142561761,73.87118423816521,Kalas-Dhanori,18.5941082455032,73.8887801539608,Accountants,2001000000077,18.505349052809297,73.84523957233907,0,,,3001000000003,18.567716221581087,73.91472923836801,pune,maharashtra,521000000000,0.9,False,True,Navi Peth-Parvati,
Male,35,Hindu,Other,1526,18.592369884084274,73.91593500192853,Kalas-Dhanori,18.5941082455032,73.8887801539608,Accountants,2001000000077,18.505349052809297,73.84523957233907,0,,,3001000000005,18.57393079559482,73.90738503965952,pune,maharashtra,521000000001,0.0,False,True,Navi Peth-Parvati,
Male,43,Hindu,Other,1508,18.595287528306347,73.88637757522196,Kalas-Dhanori,18.5941082455032,73.8887801539608,Accountants,2001000000077,18.505349052809297,73.84523957233907,0,,,3001000000003,18.567716221581087,73.91472923836801,pune,maharashtra,521000000002,0.9,False,True,Navi Peth-Parvati,
Male,23,Hindu,Other,1234,18.5821149704904,73.8815844746442,Kalas-Dhanori,18.5941082455032,73.8887801539608,Accountants,2001000000077,18.505349052809297,73.84523957233907,0,,,3001000000005,18.57393079559482,73.90738503965952,pune,maharashtra,521000000003,0.3,False,True,Navi Peth-Parvati,
Male,71,Hindu,Other,1587,18.5950171548381,73.90957904332375,Kalas-Dhanori,18.5941082455032,73.8887801539608,Accountants,2001000000077,18.505349052809297,73.84523957233907,0,,,3001000000001,18.53531697980863,73.91591640644664,pune,maharashtra,521000000004,1.0,False,True,Navi Peth-Parvati,
Male,46,Hindu,Other,1566,18.59194272437564,73.89891688106188,Kalas-Dhanori,18.5941082455032,73.8887801539608,Accountants,2001000000077,18.505349052809297,73.84523957233907,0,,,3001000000003,18.567716221581087,73.91472923836801,pune,maharashtra,521000000005,0.9,False,True,Navi Peth-Parvati,
Female,38,Hindu,Other,1671,18.582019908157204,73.88388469553242,Kalas-Dhanori,18.5941082455032,73.8887801539608,Accountants,2001000000077,18.505349052809297,73.84523957233907,0,,,3001000000001,18.53531697980863,73.91591640644664,pune,maharashtra,521000000006,0.0,False,True,Navi Peth-Parvati,
Female,51,Hindu,Other,1168,18.594823311187536,73.89864584492229,Kalas-Dhanori,18.5941082455032,73.8887801539608,Accountants,2001000000077,18.505349052809297,73.84523957233907,0,,,3001000000003,18.567716221581087,73.91472923836801,pune,maharashtra,521000000007,0.9,False,True,Navi Peth-Parvati,
Male,54,Hindu,Other,1351,18.593120048579344,73.89757379790538,Kalas-Dhanori,18.5941082455032,73.8887801539608,Accountants,2001000000077,18.505349052809297,73.84523957233907,0,,,3001000000003,18.567716221581087,73.91472923836801,pune,maharashtra,521000000008,0.9,False,True,Navi Peth-Parvati,
Male,24,Hindu,Other,1794,18.58418015110162,73.8764952147815,Kalas-Dhanori,18.5941082455032,73.8887801539608,Accountants,2001000000077,18.505349052809297,73.84523957233907,0,,,3001000000005,18.57393079559482,73.90738503965952,pune,maharashtra,521000000009,0.3,False,True,Navi Peth-Parvati,
Female,47,Hindu,SC,1506,18.58147729073584,73.88028439785738,Kalas-Dhanori,18.5941082455032,73.8887801539608,Accountants,2001000000077,18.505349052809297,73.84523957233907,0,,,3001000000003,18.567716221581087,73.91472923836801,pune,maharashtra,521000000010,0.9,False,True,Navi Peth-Parvati,
Female,27,Hindu,Other,1148,18.582274635249004,73.8832428277114,Kalas-Dhanori,18.5941082455032,73.8887801539608,Accountants,2001000000077,18.505349052809297,73.84523957233907,0,,,3001000000003,18.567716221581087,73.91472923836801,pune,maharashtra,521000000011,0.2,False,True,Navi Peth-Parvati,
Female,37,Muslim,Other,2319,18.598276505308057,73.89172035357096,Kalas-Dhanori,18.5941082455032,73.8887801539608,Accountants,2001000000077,18.505349052809297,73.84523957233907,0,,,3001000000005,18.57393079559482,73.90738503965952,pune,maharashtra,521000000012,0.0,False,True,Navi Peth-Parvati,
Male,21,Christian,Other,2184,18.580914129878682,73.88540964204697,Kalas-Dhanori,18.5941082455032,73.8887801539608,Accountants,2001000000077,18.505349052809297,73.84523957233907,0,,,3001000000005,18.57393079559482,73.90738503965952,pune,maharashtra,521000000013,0.3,False,True,Navi Peth-Parvati,
Female,44,Hindu,Other,282,18.59750622294533,73.89092256520104,Kalas-Dhanori,18.5941082455032,73.8887801539608,Accountants,2001000000077,18.505349052809297,73.84523957233907,0,,,3001000000003,18.567716221581087,73.91472923836801,pune,maharashtra,521000000014,0.9,False,True,Navi Peth-Parvati,
Male,29,Hindu,Other,1130,18.595623135596334,73.9173595817648,Kalas-Dhanori,18.5941082455032,73.8887801539608,Accountants,2001000000077,18.505349052809297,73.84523957233907,0,,,3001000000003,18.567716221581087,73.91472923836801,pune,maharashtra,521000000015,0.2,False,True,Navi Peth-Parvati,
Female,35,Hindu,Other,1503,18.597301012333773,73.9027851857329,Kalas-Dhanori,18.5941082455032,73.8887801539608,Accountants,2001000000077,18.505349052809297,73.84523957233907,0,,,3001000000003,18.567716221581087,73.91472923836801,pune,maharashtra,521000000016,0.0,False,True,Navi Peth-Parvati,
Female,22,Buddhist,SC,1746,18.597746868057936,73.87050533169293,Kalas-Dhanori,18.5941082455032,73.8887801539608,Accountants,2001000000077,18.505349052809297,73.84523957233907,0,,,3001000000007,18.540419353837137,73.82641622516036,pune,maharashtra,521000000017,0.3,False,True,Navi Peth-Parvati,
Male,30,Hindu,Other,144,18.592561809599037,73.88635363033772,Kalas-Dhanori,18.5941082455032,73.8887801539608,Accountants,2001000000077,18.505349052809297,73.84523957233907,0,,,3001000000000,18.529401921853868,73.84821962344895,pune,maharashtra,521000000018,0.1,False,True,Navi Peth-Parvati,
Male,25,Hindu,Other,1171,18.597346882840895,73.89010708602105,Kalas-Dhanori,18.5941082455032,73.8887801539608,Accountants,2001000000077,18.505349052809297,73.84523957233907,0,,,3001000000003,18.567716221581087,73.91472923836801,pune,maharashtra,521000000019,0.2,False,True,Navi Peth-Parvati,
Male,21,Hindu,Other,2039,18.597029999651685,73.88597388376355,Kalas-Dhanori,18.5941082455032,73.8887801539608,Accountants,2001000000077,18.505349052809297,73.84523957233907,0,,,3001000000003,18.567716221581087,73.91472923836801,pune,maharashtra,521000000020,0.3,False,True,Navi Peth-Parvati,
Male,49,Hindu,ST,763,18.59448793466655,73.92136813418772,Kalas-Dhanori,18.5941082455032,73.8887801539608,Accountants,2001000000077,18.505349052809297,73.84523957233907,0,,,3001000000005,18.57393079559482,73.90738503965952,pune,maharashtra,521000000021,0.9,False,True,Navi Peth-Parvati,
